Company Name ,Street Address ,Geocode Address,City,Zip,State,Category
Chicago Life Settlements,141 W Jackson Blvd #1404,142 W Jackson Blvd,Chicago,60604,IL,Investor
Chicago Stock Exchange ," One Financial Place, 440 S La salle St",440 S La salle St,Chicago,60605,IL,Capital Markets
Chicago Ventures ," Merchandise Mart Properties, Inc., 222 W Merchandise Mart Plaza #1212",222 W Merchandise Mart Plaza,Chicago,60654,IL,Investor
Club Hill Capital,155 N. Wacker Drive Suite 4250,156 N. Wacker Drive,Chicago,60606,IL,Lending
CME Group,20 S. Wacker Drive,21 S. Wacker Drive,Chicago,60606,IL,Capital Markets
Compensation and Benefits Solutions,"2516 Waukegan Road, Suite 302",2517 Waukegan Road,Glenview,60025,IL,Consulting
"Connamara Systems, LLC",200 W Jackson Blvd #1950,201 W Jackson Blvd,Chicago,60606,IL,Technology
Connect Lending ,123 Danada Square East Suite 133,124 Danada Square,Wheaton,60189,IL,Lending
CQG,311 Lower Wacker Dr # 6100,312 Lower Wacker Dr,Chicago,60606,IL,Data & Analytics
Cumulus Funding ,325 West Huron Chicago,326 West Huron Chicago,Chicago,60654,IL,Lending
"David Widerhorn Consulting, LLC","141 W Jackson Blvd, Suite 1692",142 W Jackson Blvd,Chicago,60604,IL,Data & Analytics
Discover,350 N Orleans St Suite 660,351 N Orleans St,Chicago,60654,IL,Payments
E*Trade ,125 S Wacker Dr #100,126 S Wacker Dr,Chicago,60606,IL,Capital Markets
Eagle Seven Trading ,550 W Jackson Blvd,551 W Jackson Blvd,Chicago,60661,IL,Capital Markets
Early Growth Financial Services ,744 N. Wells St.,745 N. Wells St.,Chicago,60654,IL,Service Provider
ChicagoNEXT,155 N. Upper Wacker Drive,156 N. Upper Wacker Drive,Chicago,60606,IL,Organization
Eurex,"Willis Tower, 233 S Wacker Dr #2450",233 S Wacker Dr,Chicago,60606,IL,Capital Markets
Financial Times ,20 N Wacker Dr Ste 2610,21 N Wacker Dr,Chicago,60606,IL,Media
Finom,811 W Evergreen Ave,812 W Evergreen Ave,Chicago,60642,IL,Investment Management
Firm58 Inc.,118 S Clinton St #600,119 S Clinton St,Chicago,60661,IL,Capital Markets
Founder Equity,"118 N. Peoria, Suite 3S",119 N. Peoria,Chicago,60607,IL,Investor
Freshwater Advisors,"222 W Merchandise Mart, Suite 1212",223 W Merchandise Mart,Chicago,60654,IL,Consulting
DealRoom,123 W. Madison,124 W. Madison,Chicago,60602,IL,Data & Analytics
G1 Execution Services ,"440 South La Salle Street, One Financial Place
Suite 3030",440 South La Salle Street,Chicago,60605,IL,Capital Markets
Gate 39 Media ,29 E. Madison Suite 1514,30 E. Madison,Chicago,60602,IL,Technology
Gerchen Keller Capital,"300 North LaSalle Street, Suite 1825 ",301 North LaSalle Street,Chicago,60654,IL,Investment Management
Guild Capital,"222 West Hubbard St, Suite 200",223 West Hubbard St,Chicago,60606,IL,Investor
Hearst Magazines ,"Charter One Bank, 1 S Wacker Dr # 1100",1 S Wacker Dr.,Chicago,60606,IL,Media
Hedge Act ,"325 West Huron Street, Suite 300",326 West Huron Street,Chicago,60654,IL,Technology
Heidrick & Struggles,"Willis Tower, 233 S Wacker Dr #4200",233 S Wacker Dr,Chicago,60606,IL,Service Provider
